time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T12:48:43.422789,Tràng Tiền - Hàng Bài,21.0285,105.8542,14,24,350,204,1,False
2025-12-07T12:48:43.422789,Cầu Giấy - Xuân Thủy,21.035,105.791,19,33,441,253,1,False
2025-12-07T12:48:43.422789,Ngã Tư Sở,21.0127,105.8192,18,30,739,443,1,False
2025-12-07T12:48:43.422789,Hai Bà Trưng - Lò Đúc,20.998,105.8433,25,37,1426,964,1,False
2025-12-07T12:48:43.422789,Ngã Tư Hàng Bài - Lê Thạch,21.028,105.853,0,0,0,0,0.5,True
2025-12-07T12:48:43.422789,Ngã Tư Phạm Ngọc Thạch - Xã Đàn,21.012,105.831,29,37,252,197,1,False
2025-12-07T12:48:43.422789,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,36,36,6,6,1,False
2025-12-07T12:48:43.422789,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,22,31,413,293,1,False
2025-12-07T12:48:43.422789,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,18,28,380,244,1,False
2025-12-07T12:48:43.422789,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,18,28,380,244,1,False
2025-12-07T12:48:43.422789,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,14,24,350,204,1,False
2025-12-07T12:48:43.422789,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,21,30,598,419,1,False
2025-12-07T12:48:43.422789,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,20,35,412,235,1,False
2025-12-07T12:48:43.422789,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,20,35,412,235,1,False
2025-12-07T12:48:43.422789,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,54,54,447,447,1,False
2025-12-07T12:48:43.422789,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,24,33,379,276,1,False
2025-12-07T12:48:43.422789,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,19,33,441,253,1,False
2025-12-07T12:48:43.422789,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,36,36,81,81,1,False
2025-12-07T12:48:43.422789,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,23,30,227,174,1,False
2025-12-07T12:48:43.422789,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,18,27,635,423,1,False
